comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score
v16.1_observation_vs_v16.2_final,48,4844,24,G2APS/D1_20_005055_0_train.jpg,0,G2APS,0,break,1,0,24,4844,G2APS/D1_20_005055_0_train.jpg,0,G2APS,7917,6730,Market/0704_c6s2_049543_00.jpg,1,Market,1,2,-1,0.26065608859062195,0.22798101603984833,-0.03267507255077362,0.05000000074505806,0.01075268816202879,-0.03924731258302927,0.699999988079071,0.604520857334137,0.5673889517784119
v16.1_observation_vs_v16.2_final,82,4846,41,G2APS/S1_30_000133_4_train.jpg,1,G2APS,0,break,1,0,41,4846,G2APS/S1_30_000133_4_train.jpg,1,G2APS,1165,5047,G2APS/S5_20_003864_5_train.jpg,1,G2APS,1,7,-6,0.2063017636537552,0.07894483953714371,-0.12735692411661148,0.014218009077012539,0.010152284055948257,-0.0040657250210642815,0.699999988079071,0.524678647518158,0.5797373652458191
v16.1_observation_vs_v16.2_final,95,4847,47,G2APS/S1_30_000448_0_train.jpg,1,G2APS,1,break,1,0,45,4847,G2APS/S1_30_000455_0_train.jpg,1,G2APS,8021,6765,Market/0320_c2s3_074577_00.jpg,1,Market,1,2,-1,0.34427663683891296,0.2197479009628296,-0.12452873587608337,0.04580152779817581,0.028436018154025078,-0.017365509644150734,0.699999988079071,0.5802599787712097,0.5535770654678345
v16.1_observation_vs_v16.2_final,98,4848,49,G2APS/D1_30_002460_1_train.jpg,0,G2APS,0,break,1,0,51,4848,G2APS/D1_30_002475_1_train.jpg,0,G2APS,1051,5027,G2APS/D4_30_009015_1_train.jpg,0,G2APS,1,2,-1,0.43407943844795227,0.30773797631263733,-0.12634146213531494,0.057692307978868484,0.03125,-0.026442307978868484,0.699999988079071,0.589665949344635,0.5697014927864075
v16.1_observation_vs_v16.2_final,144,4853,72,G2APS/S1_30_001757_2_train.jpg,1,G2APS,0,break,1,0,72,4853,G2APS/S1_30_001757_2_train.jpg,1,G2APS,3161,5585,AG-ReID.v2/query/P0034T03241A0/P0034T03241A0C3F00361.jpg,1,AG-ReID.v2,1,2,-1,0.48927634954452515,0.30844083428382874,-0.1808355152606964,0.0042372881434857845,0.002600104082375765,-0.0016371840611100197,0.6000000238418579,0.5947999954223633,0.5714688897132874
v16.1_observation_vs_v16.2_final,147,4853,73,G2APS/D1_30_003195_3_train.jpg,0,G2APS,1,break,1,0,73,4853,G2APS/D1_30_003195_3_train.jpg,0,G2APS,5952,6173,PRAI-1581/00000549_0002_00000005.jpg,0,PRAI-1581,1,5,-4,0.21098291873931885,0.05689988657832146,-0.1540830321609974,0.006297229323536158,0.00863557867705822,0.0023383493535220623,0.699999988079071,0.5458511710166931,0.5024304986000061
v16.1_observation_vs_v16.2_final,172,4857,86,G2APS/D1_30_004635_0_train.jpg,0,G2APS,0,break,1,0,85,4857,G2APS/D1_30_004485_1_train.jpg,0,G2APS,3032,5530,G2APS/S4_50_001232_4_train.jpg,1,G2APS,1,12,-11,1.0,0.11570049077272415,-0.8842995092272758,1.0,0.1304347813129425,-0.8695652186870575,0.5,0.534396767616272,0.5278499126434326
v16.1_observation_vs_v16.2_final,189,4859,94,G2APS/D1_30_005205_0_train.jpg,0,G2APS,1,break,1,0,94,4859,G2APS/D1_30_005205_0_train.jpg,0,G2APS,1200,5053,G2APS/D5_30_001125_2_train.jpg,0,G2APS,1,3,-2,0.2837964594364166,0.10500547289848328,-0.17879098653793335,0.015267175622284412,0.015810277312994003,0.0005431016907095909,0.699999988079071,0.5360977649688721,0.523188591003418
v16.1_observation_vs_v16.2_final,196,4860,98,G2APS/S1_30_002702_6_train.jpg,1,G2APS,0,break,1,0,101,4860,G2APS/S1_30_002695_4_train.jpg,1,G2APS,5695,6109,PRAI-1581/00000237_0002_00000000.jpg,0,PRAI-1581,1,2,-1,0.21063058078289032,0.20623743534088135,-0.004393145442008972,0.008321775123476982,0.005899704992771149,-0.0024220701307058334,0.6000000238418579,0.5395583510398865,0.5252094268798828
v16.1_observation_vs_v16.2_final,212,4862,106,G2APS/S1_41_000497_1_train.jpg,1,G2APS,0,break,1,0,108,4862,G2APS/S1_41_000490_1_train.jpg,1,G2APS,7497,6590,Market/1206_c6s3_035867_00.jpg,1,Market,1,2,-1,0.4980868101119995,0.3419610559940338,-0.1561257541179657,0.00875912420451641,0.009756097570061684,0.0009969733655452728,0.6000000238418579,0.5809739232063293,0.579423725605011
v16.1_observation_vs_v16.2_final,214,4862,107,G2APS/D1_41_001095_2_train.jpg,0,G2APS,0,break,1,0,107,4862,G2APS/D1_41_001095_2_train.jpg,0,G2APS,2697,5443,G2APS/S2_30_001029_0_train.jpg,1,G2APS,1,3,-2,0.3181522786617279,0.1794896125793457,-0.1386626660823822,0.04838709533214569,0.030612245202064514,-0.017774850130081177,0.800000011920929,0.5826830863952637,0.5578281879425049
v16.1_observation_vs_v16.2_final,219,4862,109,G2APS/D1_41_001065_3_train.jpg,0,G2APS,1,break,1,0,109,4862,G2APS/D1_41_001065_3_train.jpg,0,G2APS,1990,5236,G2APS/D3_30_002925_1_train.jpg,0,G2APS,1,3,-2,0.4626203775405884,0.23593227565288544,-0.22668810188770294,0.02985074557363987,0.019417475908994675,-0.010433269664645195,0.699999988079071,0.5660555958747864,0.6221935749053955
v16.1_observation_vs_v16.2_final,227,4863,113,G2APS/S1_41_000721_2_train.jpg,1,G2APS,1,break,1,0,113,4863,G2APS/S1_41_000721_2_train.jpg,1,G2APS,261,4889,G2APS/D2_30_001800_2_train.jpg,0,G2APS,1,3,-2,0.36353835463523865,0.14260461926460266,-0.220933735370636,0.0036585365887731314,0.0035714285913854837,-8.710799738764763e-05,0.800000011920929,0.5972615480422974,0.5950814485549927
v16.1_observation_vs_v16.2_final,253,4866,126,G2APS/S2_20_000889_8_train.jpg,1,G2APS,1,break,1,0,127,4866,G2APS/S2_20_000875_9_train.jpg,1,G2APS,6108,6213,PRAI-1581/00000805_0001_00000019.jpg,0,PRAI-1581,1,2,-1,0.7384259104728699,0.6329365372657776,-0.10548937320709229,0.375,0.5,0.125,0.800000011920929,0.5925938487052917,0.560822069644928
