comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score
v16.1_observation_vs_v16.2_final,0,4840,0,G2APS/D1_20_001755_1_train.jpg,0,G2APS,0,fix,0,1,6042,6196,PRAI-1581/00000694_0001_00000009.jpg,0,PRAI-1581,0,4840,G2APS/D1_20_001755_1_train.jpg,0,G2APS,2,1,1,0.0917975977063179,0.18788081407546997,0.09608321636915207,0.0018767594592645764,0.001409774413332343,-0.00046698504593223333,0.699999988079071,0.5913078188896179,0.554527997970581
v16.1_observation_vs_v16.2_final,6,4840,3,G2APS/S1_20_000476_1_train.jpg,1,G2APS,0,fix,0,1,2408,5354,G2APS/S4_40_003143_1_train.jpg,1,G2APS,3,4840,G2APS/S1_20_000476_1_train.jpg,1,G2APS,2,1,1,0.11434677988290787,0.18355916440486908,0.06921238452196121,0.0016583747928962111,0.0024559968151152134,0.0007976220222190022,0.800000011920929,0.5915863513946533,0.6046939492225647
v16.1_observation_vs_v16.2_final,36,4843,18,G2APS/D1_20_002610_0_train.jpg,0,G2APS,0,fix,0,1,6798,6391,uavhuman/P069S00G20B00H00UC053000LC053000A000R0_09131621_152_bbx.jpg,0,uavhuman,18,4843,G2APS/D1_20_002610_0_train.jpg,0,G2APS,3,1,2,0.19863943755626678,0.465234637260437,0.2665951997041702,0.004421518184244633,0.004231311846524477,-0.00019020633772015572,0.800000011920929,0.5332720875740051,0.5786056518554688
v16.1_observation_vs_v16.2_final,59,4844,29,G2APS/S1_20_002163_2_train.jpg,1,G2APS,1,fix,0,1,603,4949,G2APS/S3_30_001050_4_train.jpg,1,G2APS,29,4844,G2APS/S1_20_002163_2_train.jpg,1,G2APS,2,1,1,0.28040942549705505,0.3229152262210846,0.04250580072402954,0.09375,0.024000000208616257,-0.06974999979138374,0.800000011920929,0.6145304441452026,0.6038092374801636
v16.1_observation_vs_v16.2_final,60,4845,30,G2APS/D1_30_000315_4_train.jpg,0,G2APS,0,fix,0,1,8044,6772,Market/0173_c2s3_058052_00.jpg,1,Market,32,4845,G2APS/D1_30_000255_1_train.jpg,0,G2APS,3,1,2,0.24802888929843903,0.36372360587120056,0.11569471657276154,0.015706805512309074,0.02857142873108387,0.012864623218774796,0.699999988079071,0.5047967433929443,0.5099964737892151
v16.1_observation_vs_v16.2_final,61,4845,30,G2APS/D1_30_000315_4_train.jpg,0,G2APS,1,fix,0,1,51,4848,G2APS/D1_30_002475_1_train.jpg,0,G2APS,33,4845,G2APS/S1_30_000266_1_train.jpg,1,G2APS,2,1,1,0.45946434140205383,0.6003086566925049,0.14084431529045105,0.1621621549129486,0.20000000298023224,0.03783784806728363,0.800000011920929,0.5429226160049438,0.5275562405586243
v16.1_observation_vs_v16.2_final,64,4845,32,G2APS/D1_30_000255_1_train.jpg,0,G2APS,0,fix,0,1,4903,5936,AG-ReID.v2/train_all/P0260T02210A2/P0260T02210A2C0F13651.jpg,0,AG-ReID.v2,32,4845,G2APS/D1_30_000255_1_train.jpg,0,G2APS,5,1,4,0.05050170049071312,0.1932937055826187,0.1427920050919056,0.0057142856530845165,0.005400539841502905,-0.00031374581158161163,0.800000011920929,0.5306690335273743,0.5042968988418579
v16.1_observation_vs_v16.2_final,80,4846,40,G2APS/D1_30_000090_2_train.jpg,0,G2APS,0,fix,0,1,1774,5186,G2APS/S2_20_002590_0_train.jpg,1,G2APS,40,4846,G2APS/D1_30_000090_2_train.jpg,0,G2APS,3,1,2,0.06899075955152512,0.1751134991645813,0.10612273961305618,0.004360465332865715,0.002772643230855465,-0.00158782210201025,0.6000000238418579,0.47897517681121826,0.5165907144546509
v16.1_observation_vs_v16.2_final,88,4847,44,G2APS/D1_30_000705_7_train.jpg,0,G2APS,0,fix,0,1,2437,5364,G2APS/S4_50_000280_1_train.jpg,1,G2APS,44,4847,G2APS/D1_30_000705_7_train.jpg,0,G2APS,2,1,1,0.16726262867450714,0.2690805494785309,0.10181792080402374,0.0810810774564743,0.06382978707551956,-0.017251290380954742,0.800000011920929,0.5182006359100342,0.5281635522842407
v16.1_observation_vs_v16.2_final,117,4850,58,G2APS/S1_30_000987_2_train.jpg,1,G2APS,1,fix,0,1,831,4988,G2APS/S4_20_004473_4_train.jpg,1,G2APS,58,4850,G2APS/S1_30_000987_2_train.jpg,1,G2APS,4,1,3,0.07297208160161972,0.261169970035553,0.18819788843393326,0.012738853693008423,0.01133144460618496,-0.0014074090868234634,0.699999988079071,0.5594092607498169,0.5401430726051331
