comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score
v16.1_observation_vs_v16.2_final,0,4840,0,G2APS/D1_20_001755_1_train.jpg,0,G2APS,0,fix,0,1,6042,6196,PRAI-1581/00000694_0001_00000009.jpg,0,PRAI-1581,0,4840,G2APS/D1_20_001755_1_train.jpg,0,G2APS,2,1,1,0.0917975977063179,0.18788081407546997,0.09608321636915207,0.0018767594592645764,0.001409774413332343,-0.00046698504593223333,0.699999988079071,0.5913078188896179,0.554527997970581
v16.1_observation_vs_v16.2_final,1,4840,0,G2APS/D1_20_001755_1_train.jpg,0,G2APS,1,stable_wrong,0,0,1537,5125,G2APS/D8_20_001395_2_gallery.jpg,0,G2APS,5931,6168,PRAI-1581/00000522_0002_00000005.jpg,0,PRAI-1581,24,6,18,0.011048548854887486,0.031256165355443954,0.02020761650055647,0.0011514105135574937,0.0008326394599862397,-0.000318771053571254,0.30000001192092896,0.5779446363449097,0.5093733072280884
v16.1_observation_vs_v16.2_final,2,4840,1,G2APS/S1_20_000511_0_train.jpg,1,G2APS,0,stable_wrong,0,0,1651,5155,G2APS/D9_20_000660_5_gallery.jpg,0,G2APS,2815,5464,G2APS/D6_30_000375_0_train.jpg,0,G2APS,33,28,5,0.030411653220653534,0.03252434730529785,0.0021126940846443176,0.01923076994717121,0.009104704484343529,-0.010126065462827682,0.5,0.5071518421173096,0.5176641345024109
v16.1_observation_vs_v16.2_final,3,4840,1,G2APS/S1_20_000511_0_train.jpg,1,G2APS,1,stable_wrong,0,0,1739,5177,G2APS/S1_40_001029_0_train.jpg,1,G2APS,1739,5177,G2APS/S1_40_001029_0_train.jpg,1,G2APS,11,6,5,0.03992912545800209,0.05761526897549629,0.0176861435174942,0.003960396163165569,0.005037783179432154,0.0010773870162665844,0.6000000238418579,0.5554430484771729,0.5459437370300293
v16.1_observation_vs_v16.2_final,6,4840,3,G2APS/S1_20_000476_1_train.jpg,1,G2APS,0,fix,0,1,2408,5354,G2APS/S4_40_003143_1_train.jpg,1,G2APS,3,4840,G2APS/S1_20_000476_1_train.jpg,1,G2APS,2,1,1,0.11434677988290787,0.18355916440486908,0.06921238452196121,0.0016583747928962111,0.0024559968151152134,0.0007976220222190022,0.800000011920929,0.5915863513946533,0.6046939492225647
v16.1_observation_vs_v16.2_final,36,4843,18,G2APS/D1_20_002610_0_train.jpg,0,G2APS,0,fix,0,1,6798,6391,uavhuman/P069S00G20B00H00UC053000LC053000A000R0_09131621_152_bbx.jpg,0,uavhuman,18,4843,G2APS/D1_20_002610_0_train.jpg,0,G2APS,3,1,2,0.19863943755626678,0.465234637260437,0.2665951997041702,0.004421518184244633,0.004231311846524477,-0.00019020633772015572,0.800000011920929,0.5332720875740051,0.5786056518554688
v16.1_observation_vs_v16.2_final,54,4844,27,G2APS/S1_20_002177_2_train.jpg,1,G2APS,0,stable_wrong,0,0,1752,5181,G2APS/S1_50_000490_6_train.jpg,1,G2APS,1752,5181,G2APS/S1_50_000490_6_train.jpg,1,G2APS,5,4,1,0.1574717015028,0.1460251808166504,-0.011446520686149597,0.011320754885673523,0.00466562993824482,-0.006655124947428703,0.6000000238418579,0.613563060760498,0.5855823159217834
v16.1_observation_vs_v16.2_final,59,4844,29,G2APS/S1_20_002163_2_train.jpg,1,G2APS,1,fix,0,1,603,4949,G2APS/S3_30_001050_4_train.jpg,1,G2APS,29,4844,G2APS/S1_20_002163_2_train.jpg,1,G2APS,2,1,1,0.28040942549705505,0.3229152262210846,0.04250580072402954,0.09375,0.024000000208616257,-0.06974999979138374,0.800000011920929,0.6145304441452026,0.6038092374801636
v16.1_observation_vs_v16.2_final,60,4845,30,G2APS/D1_30_000315_4_train.jpg,0,G2APS,0,fix,0,1,8044,6772,Market/0173_c2s3_058052_00.jpg,1,Market,32,4845,G2APS/D1_30_000255_1_train.jpg,0,G2APS,3,1,2,0.24802888929843903,0.36372360587120056,0.11569471657276154,0.015706805512309074,0.02857142873108387,0.012864623218774796,0.699999988079071,0.5047967433929443,0.5099964737892151
v16.1_observation_vs_v16.2_final,61,4845,30,G2APS/D1_30_000315_4_train.jpg,0,G2APS,1,fix,0,1,51,4848,G2APS/D1_30_002475_1_train.jpg,0,G2APS,33,4845,G2APS/S1_30_000266_1_train.jpg,1,G2APS,2,1,1,0.45946434140205383,0.6003086566925049,0.14084431529045105,0.1621621549129486,0.20000000298023224,0.03783784806728363,0.800000011920929,0.5429226160049438,0.5275562405586243
v16.1_observation_vs_v16.2_final,64,4845,32,G2APS/D1_30_000255_1_train.jpg,0,G2APS,0,fix,0,1,4903,5936,AG-ReID.v2/train_all/P0260T02210A2/P0260T02210A2C0F13651.jpg,0,AG-ReID.v2,32,4845,G2APS/D1_30_000255_1_train.jpg,0,G2APS,5,1,4,0.05050170049071312,0.1932937055826187,0.1427920050919056,0.0057142856530845165,0.005400539841502905,-0.00031374581158161163,0.800000011920929,0.5306690335273743,0.5042968988418579
v16.1_observation_vs_v16.2_final,69,4845,34,G2APS/D1_30_000300_1_train.jpg,0,G2APS,1,stable_wrong,0,0,363,4908,G2APS/D2_30_007770_9_train.jpg,0,G2APS,363,4908,G2APS/D2_30_007770_9_train.jpg,0,G2APS,226,158,68,0.0029289464000612497,0.002926667220890522,-2.27917917072773e-06,0.0012079726438969374,0.0011194029357284307,-8.856970816850662e-05,0.6000000238418579,0.5413213968276978,0.5497133135795593
v16.1_observation_vs_v16.2_final,72,4846,36,G2APS/D1_30_000105_2_train.jpg,0,G2APS,0,stable_wrong,0,0,831,4988,G2APS/S4_20_004473_4_train.jpg,1,G2APS,2668,5430,G2APS/D8_30_009180_2_gallery.jpg,0,G2APS,21,17,4,0.033251579850912094,0.055263545364141464,0.02201196551322937,0.011583011597394943,0.017492711544036865,0.005909699946641922,0.6000000238418579,0.5669253468513489,0.5181940197944641
v16.1_observation_vs_v16.2_final,74,4846,37,G2APS/S1_30_000119_3_train.jpg,1,G2APS,0,stable_wrong,0,0,2880,5481,G2APS/D9_20_001875_1_gallery.jpg,0,G2APS,2880,5481,G2APS/D9_20_001875_1_gallery.jpg,0,G2APS,10,2,8,0.02225029468536377,0.08960282802581787,0.0673525333404541,0.004160887561738491,0.004447739105671644,0.00028685154393315315,0.6000000238418579,0.5523782968521118,0.5851654410362244
v16.1_observation_vs_v16.2_final,75,4846,37,G2APS/S1_30_000119_3_train.jpg,1,G2APS,1,stable_wrong,0,0,2859,5476,G2APS/D8_20_009825_1_gallery.jpg,0,G2APS,756,4976,G2APS/S4_20_002933_0_train.jpg,1,G2APS,61,45,16,0.006202311720699072,0.007284217979758978,0.001081906259059906,0.003636363660916686,0.003647416364401579,1.1052703484892845e-05,0.699999988079071,0.5383174419403076,0.529947817325592
v16.1_observation_vs_v16.2_final,80,4846,40,G2APS/D1_30_000090_2_train.jpg,0,G2APS,0,fix,0,1,1774,5186,G2APS/S2_20_002590_0_train.jpg,1,G2APS,40,4846,G2APS/D1_30_000090_2_train.jpg,0,G2APS,3,1,2,0.06899075955152512,0.1751134991645813,0.10612273961305618,0.004360465332865715,0.002772643230855465,-0.00158782210201025,0.6000000238418579,0.47897517681121826,0.5165907144546509
v16.1_observation_vs_v16.2_final,83,4846,41,G2APS/S1_30_000133_4_train.jpg,1,G2APS,1,stable_wrong,0,0,1560,5131,G2APS/S8_20_001722_0_gallery.jpg,1,G2APS,1560,5131,G2APS/S8_20_001722_0_gallery.jpg,1,G2APS,38,33,5,0.020405564457178116,0.02135355770587921,0.0009479932487010956,0.009803921915590763,0.009259259328246117,-0.0005446625873446465,0.800000011920929,0.5669069290161133,0.5650745630264282
v16.1_observation_vs_v16.2_final,84,4847,42,G2APS/D1_30_000090_7_train.jpg,0,G2APS,0,stable_wrong,0,0,3112,5572,G2APS/S8_30_002989_9_gallery.jpg,1,G2APS,2640,5418,G2APS/S6_50_000945_5_train.jpg,1,G2APS,554,321,233,0.0036422982811927795,0.0042450618930161,0.0006027636118233204,0.0051369862630963326,0.004658385179936886,-0.0004786010831594467,0.6000000238418579,0.5156168937683105,0.5561361908912659
