comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score
v16.1_observation_vs_v16.2_final,7,4840,3,G2APS/S1_20_000476_1_train.jpg,1,G2APS,1,stable_wrong,0,0,6012,6188,PRAI-1581/00000649_0001_00000003.jpg,0,PRAI-1581,2655,5426,G2APS/S7_50_000749_0_gallery.jpg,1,G2APS,23,39,-16,0.019331930205225945,0.01576564647257328,-0.003566283732652664,0.0018461538711562753,0.002139037474989891,0.0002928836038336158,0.800000011920929,0.5562419295310974,0.5424901247024536
v16.1_observation_vs_v16.2_final,8,4840,4,G2APS/S1_20_000497_1_train.jpg,1,G2APS,0,stable_wrong,0,0,2592,5404,G2APS/D6_30_003015_12_train.jpg,0,G2APS,2592,5404,G2APS/D6_30_003015_12_train.jpg,0,G2APS,2,14,-12,0.08647368103265762,0.014959362335503101,-0.07151431869715452,0.0017187052872031927,0.0019077901961281896,0.00018908490892499685,0.5,0.55253666639328,0.5608238577842712
v16.1_observation_vs_v16.2_final,9,4840,4,G2APS/S1_20_000497_1_train.jpg,1,G2APS,1,stable_wrong,0,0,2403,5352,G2APS/S4_40_002975_3_train.jpg,1,G2APS,2403,5352,G2APS/S4_40_002975_3_train.jpg,1,G2APS,12,147,-135,0.015566452406346798,0.0031877097208052874,-0.01237874268554151,0.0012690355069935322,0.0015719151124358177,0.00030287960544228554,0.6000000238418579,0.5592163801193237,0.5517761707305908
v16.1_observation_vs_v16.2_final,17,4841,8,G2APS/S1_20_001204_0_train.jpg,1,G2APS,1,stable_wrong,0,0,5760,6125,PRAI-1581/00000315_0001_00000003.jpg,0,PRAI-1581,1497,5112,G2APS/D7_30_005565_3_gallery.jpg,0,G2APS,33,38,-5,0.019227325916290283,0.022175030782818794,0.002947704866528511,0.009852216579020023,0.01846153847873211,0.008609321899712086,0.4000000059604645,0.4973478317260742,0.4645966589450836
v16.1_observation_vs_v16.2_final,23,4841,11,G2APS/S1_20_001183_1_train.jpg,1,G2APS,1,stable_wrong,0,0,4847,5925,AG-ReID.v2/train_all/P0200T02210A2/P0200T02210A2C3F61.jpg,1,AG-ReID.v2,4847,5925,AG-ReID.v2/train_all/P0200T02210A2/P0200T02210A2C3F61.jpg,1,AG-ReID.v2,3,4,-1,0.19277821481227875,0.14663301408290863,-0.04614520072937012,0.07594936341047287,0.04545454680919647,-0.030494816601276398,0.699999988079071,0.6328238248825073,0.6275850534439087
v16.1_observation_vs_v16.2_final,33,4842,16,G2APS/D1_20_002565_2_train.jpg,0,G2APS,1,stable_wrong,0,0,7417,6563,Market/0185_c5s1_034601_00.jpg,1,Market,7417,6563,Market/0185_c5s1_034601_00.jpg,1,Market,2,5,-3,0.22946129739284515,0.12781350314617157,-0.10164779424667358,0.0833333358168602,0.0555555559694767,-0.0277777798473835,0.800000011920929,0.5385835766792297,0.5572930574417114
v16.1_observation_vs_v16.2_final,48,4844,24,G2APS/D1_20_005055_0_train.jpg,0,G2APS,0,break,1,0,24,4844,G2APS/D1_20_005055_0_train.jpg,0,G2APS,7917,6730,Market/0704_c6s2_049543_00.jpg,1,Market,1,2,-1,0.26065608859062195,0.22798101603984833,-0.03267507255077362,0.05000000074505806,0.01075268816202879,-0.03924731258302927,0.699999988079071,0.604520857334137,0.5673889517784119
v16.1_observation_vs_v16.2_final,50,4844,25,G2APS/S1_20_002170_2_train.jpg,1,G2APS,0,stable_wrong,0,0,933,5006,G2APS/S4_30_001806_0_train.jpg,1,G2APS,933,5006,G2APS/S4_30_001806_0_train.jpg,1,G2APS,3,5,-2,0.28883540630340576,0.23455499112606049,-0.054280415177345276,0.1621621549129486,0.06976744532585144,-0.09239470958709717,0.6000000238418579,0.5640656352043152,0.5368081331253052
v16.1_observation_vs_v16.2_final,52,4844,26,G2APS/D1_20_005085_0_train.jpg,0,G2APS,0,stable_wrong,0,0,2452,5369,G2APS/S4_50_000427_0_train.jpg,1,G2APS,2452,5369,G2APS/S4_50_000427_0_train.jpg,1,G2APS,5,6,-1,0.1984444409608841,0.17106890678405762,-0.027375534176826477,0.024000000208616257,0.02238805964589119,-0.0016119405627250671,0.8999999761581421,0.5651698708534241,0.5303425192832947
v16.1_observation_vs_v16.2_final,53,4844,26,G2APS/D1_20_005085_0_train.jpg,0,G2APS,1,stable_wrong,0,0,547,4939,G2APS/D3_20_007545_5_train.jpg,0,G2APS,547,4939,G2APS/D3_20_007545_5_train.jpg,0,G2APS,2,4,-2,0.35425135493278503,0.25641849637031555,-0.09783285856246948,0.1463414579629898,0.2068965584039688,0.060555100440979004,0.800000011920929,0.6049878001213074,0.5773959159851074
v16.1_observation_vs_v16.2_final,55,4844,27,G2APS/S1_20_002177_2_train.jpg,1,G2APS,1,stable_wrong,0,0,2814,5464,G2APS/S6_30_000413_0_train.jpg,1,G2APS,603,4949,G2APS/S3_30_001050_4_train.jpg,1,G2APS,4,5,-1,0.23923559486865997,0.1629081815481186,-0.07632741332054138,0.034090910106897354,0.010434783063828945,-0.02365612704306841,0.8999999761581421,0.5291318893432617,0.49573543667793274
v16.1_observation_vs_v16.2_final,68,4845,34,G2APS/D1_30_000300_1_train.jpg,0,G2APS,0,stable_wrong,0,0,919,5003,G2APS/D4_30_002070_13_train.jpg,0,G2APS,49,4848,G2APS/D1_30_002460_1_train.jpg,0,G2APS,6,13,-7,0.050121571868658066,0.02439694106578827,-0.025724630802869797,0.003597122384235263,0.0027868091128766537,-0.0008103132713586092,0.699999988079071,0.587652862071991,0.5339557528495789
v16.1_observation_vs_v16.2_final,73,4846,36,G2APS/D1_30_000105_2_train.jpg,0,G2APS,1,stable_wrong,0,0,264,4890,G2APS/D2_30_002490_3_train.jpg,0,G2APS,1663,5158,G2APS/D9_20_001935_2_gallery.jpg,0,G2APS,91,246,-155,0.005375022534281015,0.0036247691605240107,-0.0017502533737570047,0.0034782609436661005,0.0018461538711562753,-0.0016321070725098252,0.4000000059604645,0.46280336380004883,0.4568154811859131
v16.1_observation_vs_v16.2_final,76,4846,38,G2APS/D1_30_000045_0_train.jpg,0,G2APS,0,stable_wrong,0,0,1598,5140,G2APS/D8_30_009780_2_gallery.jpg,0,G2APS,410,4916,G2APS/D2_40_006465_7_train.jpg,0,G2APS,11,15,-4,0.04556361958384514,0.02215970866382122,-0.023403910920023918,0.0012048193020746112,0.0013486177194863558,0.0001437984174117446,0.800000011920929,0.557807981967926,0.5193778276443481
v16.1_observation_vs_v16.2_final,81,4846,40,G2APS/D1_30_000090_2_train.jpg,0,G2APS,1,stable_wrong,0,0,1598,5140,G2APS/D8_30_009780_2_gallery.jpg,0,G2APS,1598,5140,G2APS/D8_30_009780_2_gallery.jpg,0,G2APS,23,41,-18,0.027127251029014587,0.02050679735839367,-0.006620453670620918,0.011299435049295425,0.014851485379040241,0.003552050329744816,0.800000011920929,0.5815739035606384,0.5778939723968506
v16.1_observation_vs_v16.2_final,82,4846,41,G2APS/S1_30_000133_4_train.jpg,1,G2APS,0,break,1,0,41,4846,G2APS/S1_30_000133_4_train.jpg,1,G2APS,1165,5047,G2APS/S5_20_003864_5_train.jpg,1,G2APS,1,7,-6,0.2063017636537552,0.07894483953714371,-0.12735692411661148,0.014218009077012539,0.010152284055948257,-0.0040657250210642815,0.699999988079071,0.524678647518158,0.5797373652458191
v16.1_observation_vs_v16.2_final,95,4847,47,G2APS/S1_30_000448_0_train.jpg,1,G2APS,1,break,1,0,45,4847,G2APS/S1_30_000455_0_train.jpg,1,G2APS,8021,6765,Market/0320_c2s3_074577_00.jpg,1,Market,1,2,-1,0.34427663683891296,0.2197479009628296,-0.12452873587608337,0.04580152779817581,0.028436018154025078,-0.017365509644150734,0.699999988079071,0.5802599787712097,0.5535770654678345
