comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score,identity_residual_on_base_top1,identity_residual_on_candidate_top1,identity_residual_on_source_image,identity_contribution_on_base_top1,identity_contribution_on_candidate_top1,identity_contribution_on_source_image
v16.2_observation_vs_v16.2_final,64,4845,32,G2APS/D1_30_000255_1_train.jpg,0,G2APS,0,fix,0,1,4903,5936,AG-ReID.v2/train_all/P0260T02210A2/P0260T02210A2C0F13651.jpg,0,AG-ReID.v2,32,4845,G2APS/D1_30_000255_1_train.jpg,0,G2APS,2,1,1,0.10806066542863846,0.1932937055826187,0.08523304015398026,0.004882018081843853,0.005400539841502905,0.0005185217596590519,1.0,0.5163713097572327,0.5042968988418579,-0.2945318818092346,-0.10281237959861755,-0.10281237959861755,-0.03294661487356354,-0.011500690023989346,-0.011500690023989346
v16.2_observation_vs_v16.2_final,292,4870,146,G2APS/S2_20_001904_0_train.jpg,1,G2APS,0,fix,0,1,1821,5194,G2APS/S2_20_005558_0_train.jpg,1,G2APS,146,4870,G2APS/S2_20_001904_0_train.jpg,1,G2APS,2,1,1,0.13836811482906342,0.2305433601140976,0.09217524528503418,0.025316456332802773,0.03141361102461815,0.006097154691815376,0.8999999761581421,0.5207465887069702,0.5018285512924194,-0.2255735695362091,-0.15066877007484436,-0.15066877007484436,-0.025232872840496245,-0.016853951126230005,-0.016853951126230005
v16.2_observation_vs_v16.2_final,304,4871,152,G2APS/S2_20_002226_4_train.jpg,1,G2APS,0,fix,0,1,1957,5226,G2APS/D3_20_010125_1_train.jpg,0,G2APS,156,4871,G2APS/S2_20_002247_1_train.jpg,1,G2APS,2,1,1,0.16165761649608612,0.24669687449932098,0.08503925800323486,0.02142857201397419,0.022641509771347046,0.0012129377573728561,1.0,0.5386637449264526,0.5268102884292603,-0.14472991228103638,-0.10207575559616089,-0.05980277061462402,-0.016189624876319364,-0.011418290566360234,-0.006689594483656691
v16.2_observation_vs_v16.2_final,322,4872,161,G2APS/S2_20_001946_1_train.jpg,1,G2APS,0,fix,0,1,6212,6239,PRAI-1581/00000978_0001_00000002.jpg,0,PRAI-1581,160,4872,G2APS/D2_20_003465_15_train.jpg,0,G2APS,2,1,1,0.20763564109802246,0.3019593060016632,0.09432366490364075,0.050847455859184265,0.06382978707551956,0.012982331216335297,0.8999999761581421,0.5198251605033875,0.5046512484550476,-0.16490116715431213,-0.10742396116256714,0.02570211887359619,-0.01844600052483658,-0.01201654589946255,0.002875063326799321
v16.2_observation_vs_v16.2_final,545,4892,272,G2APS/D2_30_002880_14_train.jpg,0,G2APS,1,fix,0,1,1403,5089,G2APS/S6_40_000014_1_train.jpg,1,G2APS,272,4892,G2APS/D2_30_002880_14_train.jpg,0,G2APS,2,1,1,0.13083916902542114,0.25596922636032104,0.1251300573348999,0.002747252816334367,0.002958579920232296,0.0002113271038979292,1.0,0.5120279788970947,0.49858716130256653,-0.12031427025794983,-0.10140332579612732,-0.10140332579612732,-0.013458468066794627,-0.011343071932930382,-0.011343071932930382
v16.2_observation_vs_v16.2_final,674,4903,337,G2APS/S2_30_003738_2_train.jpg,1,G2APS,0,fix,0,1,1926,5221,G2APS/D3_20_002070_4_train.jpg,0,G2APS,337,4903,G2APS/S2_30_003738_2_train.jpg,1,G2APS,2,1,1,0.16435383260250092,0.2458510845899582,0.08149725198745728,0.0077720205299556255,0.009273570030927658,0.0015015495009720325,0.8999999761581421,0.546763002872467,0.5270228385925293,-0.1930581033229828,-0.15479275584220886,-0.15479275584220886,-0.02159566203608021,-0.01731526407471895,-0.01731526407471895
v16.2_observation_vs_v16.2_final,709,4906,354,G2APS/S2_30_003808_1_train.jpg,1,G2APS,1,fix,0,1,631,4954,G2APS/S3_30_002716_2_train.jpg,1,G2APS,354,4906,G2APS/S2_30_003808_1_train.jpg,1,G2APS,2,1,1,0.129419207572937,0.2550410330295563,0.12562182545661926,0.003325020894408226,0.0038834952283650637,0.0005584743339568377,0.8999999761581421,0.46481767296791077,0.4555981457233429,-0.13846901059150696,-0.07864230871200562,-0.07864230871200562,-0.015489274491637506,-0.00879700303405695,-0.00879700303405695
v16.2_observation_vs_v16.2_final,741,4909,370,G2APS/S2_30_004137_0_train.jpg,1,G2APS,1,fix,0,1,420,4918,G2APS/S2_50_001498_2_train.jpg,1,G2APS,370,4909,G2APS/S2_30_004137_0_train.jpg,1,G2APS,2,1,1,0.09982049465179443,0.18421639502048492,0.08439590036869049,0.012072434648871422,0.01217038556933403,9.795092046260834e-05,1.0,0.5711563229560852,0.5671872496604919,-0.06993913650512695,-0.012301325798034668,-0.012301325798034668,-0.00782345795935413,-0.0013760379386180688,-0.0013760379386180688
v16.2_observation_vs_v16.2_final,1066,4937,533,G2APS/D3_20_007095_2_train.jpg,0,G2APS,0,fix,0,1,5979,6180,PRAI-1581/00000573_0002_00000006.jpg,0,PRAI-1581,533,4937,G2APS/D3_20_007095_2_train.jpg,0,G2APS,2,1,1,0.21712274849414825,0.3337431252002716,0.11662037670612335,0.004535147454589605,0.005217391531914473,0.0006822440773248672,0.8999999761581421,0.5604589581489563,0.543362557888031,-0.17604482173919678,-0.09451207518577576,-0.09451207518577576,-0.019692540266602165,-0.010572210121768233,-0.010572210121768233
v16.2_observation_vs_v16.2_final,1092,4939,546,G2APS/S3_20_003927_1_train.jpg,1,G2APS,0,fix,0,1,230,4884,G2APS/D2_20_010590_7_train.jpg,0,G2APS,546,4939,G2APS/S3_20_003927_1_train.jpg,1,G2APS,2,1,1,0.4837166965007782,0.5793600678443909,0.09564337134361267,0.031088082119822502,0.03351955488324165,0.0024314727634191513,1.0,0.6351291537284851,0.613549530506134,-0.19881749153137207,-0.1435261070728302,-0.1435261070728302,-0.022239912648419846,-0.016054966087145406,-0.016054966087145406
