comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score,identity_residual_on_base_top1,identity_residual_on_candidate_top1,identity_residual_on_source_image,identity_contribution_on_base_top1,identity_contribution_on_candidate_top1,identity_contribution_on_source_image
v16.2_observation_vs_v16.2_final,2,4840,1,G2APS/S1_20_000511_0_train.jpg,1,G2APS,0,stable_wrong,0,0,2815,5464,G2APS/D6_30_000375_0_train.jpg,0,G2APS,2815,5464,G2APS/D6_30_000375_0_train.jpg,0,G2APS,37,28,9,0.030817722901701927,0.03252434730529785,0.0017066244035959244,0.007926023565232754,0.009104704484343529,0.001178680919110775,1.0,0.5264632701873779,0.5176641345024109,-0.07870995998382568,-0.07870995998382568,-0.0881006121635437,-0.008804570569308723,-0.008804570569308723,-0.009855017804006216
v16.2_observation_vs_v16.2_final,8,4840,4,G2APS/S1_20_000497_1_train.jpg,1,G2APS,0,stable_wrong,0,0,2592,5404,G2APS/D6_30_003015_12_train.jpg,0,G2APS,2592,5404,G2APS/D6_30_003015_12_train.jpg,0,G2APS,16,14,2,0.013185889460146427,0.014959362335503101,0.0017734728753566742,0.0017094017239287496,0.0019077901961281896,0.00019838847219944,1.0,0.5761184692382812,0.5608238577842712,-0.13659584522247314,-0.13659584522247314,-0.09389722347259521,-0.0152797404417786,-0.0152797404417786,-0.010503432227592313
v16.2_observation_vs_v16.2_final,17,4841,8,G2APS/S1_20_001204_0_train.jpg,1,G2APS,1,stable_wrong,0,0,1497,5112,G2APS/D7_30_005565_3_gallery.jpg,0,G2APS,1497,5112,G2APS/D7_30_005565_3_gallery.jpg,0,G2APS,51,38,13,0.01692970097064972,0.022175030782818794,0.005245329812169075,0.013921113684773445,0.01846153847873211,0.004540424793958664,0.699999988079071,0.4719125032424927,0.4645966589450836,-0.06531020998954773,-0.06531020998954773,0.01478680968284607,-0.007305661861186419,-0.007305661861186419,0.0016540665167954494
v16.2_observation_vs_v16.2_final,50,4844,25,G2APS/S1_20_002170_2_train.jpg,1,G2APS,0,stable_wrong,0,0,933,5006,G2APS/S4_30_001806_0_train.jpg,1,G2APS,933,5006,G2APS/S4_30_001806_0_train.jpg,1,G2APS,6,5,1,0.22136668860912323,0.23455499112606049,0.013188302516937256,0.06741572916507721,0.06976744532585144,0.002351716160774231,0.8999999761581421,0.5472586154937744,0.5368081331253052,-0.09329608082771301,-0.09329608082771301,-0.12263190746307373,-0.010436187842762568,-0.010436187842762568,-0.013717721156629281
v16.2_observation_vs_v16.2_final,53,4844,26,G2APS/D1_20_005085_0_train.jpg,0,G2APS,1,stable_wrong,0,0,547,4939,G2APS/D3_20_007545_5_train.jpg,0,G2APS,547,4939,G2APS/D3_20_007545_5_train.jpg,0,G2APS,5,4,1,0.23488932847976685,0.25641849637031555,0.021529167890548706,0.17142857611179352,0.2068965584039688,0.03546798229217529,1.0,0.5850951075553894,0.5773959159851074,-0.06860178709030151,-0.06860178709030151,-0.03023180365562439,-0.0076738607889188515,-0.0076738607889188515,-0.0033817581507871175
v16.2_observation_vs_v16.2_final,64,4845,32,G2APS/D1_30_000255_1_train.jpg,0,G2APS,0,fix,0,1,4903,5936,AG-ReID.v2/train_all/P0260T02210A2/P0260T02210A2C0F13651.jpg,0,AG-ReID.v2,32,4845,G2APS/D1_30_000255_1_train.jpg,0,G2APS,2,1,1,0.10806066542863846,0.1932937055826187,0.08523304015398026,0.004882018081843853,0.005400539841502905,0.0005185217596590519,1.0,0.5163713097572327,0.5042968988418579,-0.2945318818092346,-0.10281237959861755,-0.10281237959861755,-0.03294661487356354,-0.011500690023989346,-0.011500690023989346
v16.2_observation_vs_v16.2_final,69,4845,34,G2APS/D1_30_000300_1_train.jpg,0,G2APS,1,stable_wrong,0,0,363,4908,G2APS/D2_30_007770_9_train.jpg,0,G2APS,363,4908,G2APS/D2_30_007770_9_train.jpg,0,G2APS,175,158,17,0.0026979988906532526,0.002926667220890522,0.0002286683302372694,0.0010452962014824152,0.0011194029357284307,7.410673424601555e-05,0.800000011920929,0.5639724135398865,0.5497133135795593,-0.12738022208213806,-0.12738022208213806,-0.03166612982749939,-0.014248872120972589,-0.014248872120972589,-0.0035422032329885944
v16.2_observation_vs_v16.2_final,73,4846,36,G2APS/D1_30_000105_2_train.jpg,0,G2APS,1,stable_wrong,0,0,1663,5158,G2APS/D9_20_001935_2_gallery.jpg,0,G2APS,1663,5158,G2APS/D9_20_001935_2_gallery.jpg,0,G2APS,257,246,11,0.003379600355401635,0.0036247691605240107,0.0002451688051223755,0.001788908732123673,0.0018461538711562753,5.724513903260231e-05,0.8999999761581421,0.4555872082710266,0.4568154811859131,0.011197954416275024,0.011197954416275024,0.12799638509750366,0.0012526137722628228,0.0012526137722628228,0.014317796698651186
v16.2_observation_vs_v16.2_final,75,4846,37,G2APS/S1_30_000119_3_train.jpg,1,G2APS,1,stable_wrong,0,0,756,4976,G2APS/S4_20_002933_0_train.jpg,1,G2APS,756,4976,G2APS/S4_20_002933_0_train.jpg,1,G2APS,48,45,3,0.006632039323449135,0.007284217979758978,0.0006521786563098431,0.003239740850403905,0.003647416364401579,0.000407675513997674,0.8999999761581421,0.5365046858787537,0.529947817325592,-0.05843821167945862,-0.05843821167945862,0.02609860897064209,-0.006536953630540854,-0.006536953630540854,0.002919415084063459
v16.2_observation_vs_v16.2_final,76,4846,38,G2APS/D1_30_000045_0_train.jpg,0,G2APS,0,stable_wrong,0,0,410,4916,G2APS/D2_40_006465_7_train.jpg,0,G2APS,410,4916,G2APS/D2_40_006465_7_train.jpg,0,G2APS,17,15,2,0.020173562690615654,0.02215970866382122,0.0019861459732055664,0.0012404383160173893,0.0013486177194863558,0.00010817940346896648,1.0,0.5380203723907471,0.5193778276443481,-0.16653671860694885,-0.16653671860694885,-0.12348935008049011,-0.01862895485726712,-0.01862895485726712,-0.013813635498800547
