comparison,query_index,query_pid,query_source_image_index,query_source_image_path,query_view,query_source,caption_in_image,category,base_correct,candidate_correct,base_top1_index,base_top1_pid,base_top1_path,base_top1_view,base_top1_source,candidate_top1_index,candidate_top1_pid,candidate_top1_path,candidate_top1_view,candidate_top1_source,base_best_positive_rank,candidate_best_positive_rank,rank_improvement,base_ap,candidate_ap,ap_delta,base_inp,candidate_inp,inp_delta,top10_overlap,base_top1_score,candidate_top1_score,identity_residual_on_base_top1,identity_residual_on_candidate_top1,identity_residual_on_source_image,identity_contribution_on_base_top1,identity_contribution_on_candidate_top1,identity_contribution_on_source_image
v16.2_observation_vs_v16.2_final,7,4840,3,G2APS/S1_20_000476_1_train.jpg,1,G2APS,1,stable_wrong,0,0,2655,5426,G2APS/S7_50_000749_0_gallery.jpg,1,G2APS,2655,5426,G2APS/S7_50_000749_0_gallery.jpg,1,G2APS,38,39,-1,0.014964764006435871,0.01576564647257328,0.0008008824661374092,0.0019212295301258564,0.002139037474989891,0.00021780794486403465,1.0,0.5526847839355469,0.5424901247024536,-0.09091129899024963,-0.09091129899024963,-0.059412360191345215,-0.010169423890847629,-0.010169423890847629,-0.0066459228044504215
v16.2_observation_vs_v16.2_final,81,4846,40,G2APS/D1_30_000090_2_train.jpg,0,G2APS,1,stable_wrong,0,0,1598,5140,G2APS/D8_30_009780_2_gallery.jpg,0,G2APS,1598,5140,G2APS/D8_30_009780_2_gallery.jpg,0,G2APS,39,41,-2,0.020631909370422363,0.02050679735839367,-0.00012511201202869415,0.014285714365541935,0.014851485379040241,0.0005657710134983063,0.8999999761581421,0.584916889667511,0.5778939723968506,-0.06281650066375732,-0.06281650066375732,-0.012831002473831177,-0.007026713177401334,-0.007026713177401334,-0.001435288072551888
v16.2_observation_vs_v16.2_final,82,4846,41,G2APS/S1_30_000133_4_train.jpg,1,G2APS,0,stable_wrong,0,0,1165,5047,G2APS/S5_20_003864_5_train.jpg,1,G2APS,1165,5047,G2APS/S5_20_003864_5_train.jpg,1,G2APS,6,7,-1,0.07901140302419662,0.07894483953714371,-6.656348705291748e-05,0.009554140269756317,0.010152284055948257,0.0005981437861919403,1.0,0.5968044996261597,0.5797373652458191,-0.15239953994750977,-0.15239953994750977,-0.13586503267288208,-0.017047556681184517,-0.017047556681184517,-0.015197991058763627
v16.2_observation_vs_v16.2_final,83,4846,41,G2APS/S1_30_000133_4_train.jpg,1,G2APS,1,stable_wrong,0,0,1560,5131,G2APS/S8_20_001722_0_gallery.jpg,1,G2APS,1560,5131,G2APS/S8_20_001722_0_gallery.jpg,1,G2APS,30,33,-3,0.020626800134778023,0.02135355770587921,0.0007267575711011887,0.009216589853167534,0.009259259328246117,4.2669475078582764e-05,0.8999999761581421,0.5778210163116455,0.5650745630264282,-0.1138848066329956,-0.1138848066329956,-0.06399261951446533,-0.012739262184586764,-0.012739262184586764,-0.0071582749444392135
v16.2_observation_vs_v16.2_final,97,4848,48,G2APS/D1_30_002430_1_train.jpg,0,G2APS,1,stable_wrong,0,0,3067,5541,G2APS/S6_40_000091_4_train.jpg,1,G2APS,7413,6562,Market/0967_c6s2_115568_00.jpg,1,Market,4,5,-1,0.1759781390428543,0.1502801775932312,-0.025697961449623108,0.15789473056793213,0.1304347813129425,-0.027459949254989624,1.0,0.5702401399612427,0.5540183782577515,-0.15240851044654846,-0.08513930439949036,-0.14145821332931519,-0.01704856012969147,-0.009523763116652706,-0.015823649537138884
v16.2_observation_vs_v16.2_final,99,4848,49,G2APS/D1_30_002460_1_train.jpg,0,G2APS,1,stable_wrong,0,0,2618,5412,G2APS/D6_40_005295_4_train.jpg,0,G2APS,1235,5059,G2APS/D5_30_006945_1_train.jpg,0,G2APS,32,33,-1,0.0199733879417181,0.019827116280794144,-0.00014627166092395782,0.003484320593997836,0.003761755535379052,0.00027743494138121605,0.8999999761581421,0.5166070461273193,0.5164464116096497,-0.027757912874221802,0.030684173107147217,0.021245598793029785,-0.0031050263881220452,0.0034323606254949013,0.0023765527755177374
v16.2_observation_vs_v16.2_final,124,4851,62,G2APS/D1_30_002550_2_train.jpg,0,G2APS,0,stable_wrong,0,0,1650,5154,G2APS/D9_20_000300_5_gallery.jpg,0,G2APS,1650,5154,G2APS/D9_20_000300_5_gallery.jpg,0,G2APS,140,177,-37,0.009082271717488766,0.007625475525856018,-0.0014567961916327477,0.010714286006987095,0.00906344410032034,-0.0016508419066667557,0.8999999761581421,0.5419695377349854,0.5279255509376526,-0.12560966610908508,-0.12560966610908508,-0.15949690341949463,-0.014050816055198201,-0.014050816055198201,-0.0178414744719948
v16.2_observation_vs_v16.2_final,126,4851,63,G2APS/D1_30_002505_2_train.jpg,0,G2APS,0,stable_wrong,0,0,2540,5391,G2APS/D5_40_002010_2_train.jpg,0,G2APS,2540,5391,G2APS/D5_40_002010_2_train.jpg,0,G2APS,28,29,-1,0.017624715343117714,0.01752842217683792,-9.629316627979279e-05,0.0038265306502580643,0.003816793905571103,-9.736744686961174e-06,1.0,0.5646900534629822,0.5404113531112671,-0.21695026755332947,-0.21695026755332947,-0.16084705293178558,-0.024268262124592876,-0.024268262124592876,-0.01799250347343917
v16.2_observation_vs_v16.2_final,133,4852,66,G2APS/D1_30_002415_4_train.jpg,0,G2APS,1,stable_wrong,0,0,96,4860,G2APS/D1_30_005115_2_train.jpg,0,G2APS,96,4860,G2APS/D1_30_005115_2_train.jpg,0,G2APS,13,14,-1,0.019348472356796265,0.018971359357237816,-0.0003771129995584488,0.0009637005859985948,0.0010164323030039668,5.273171700537205e-05,1.0,0.5240655541419983,0.5109595656394958,-0.11717161536216736,-0.11717161536216736,-0.03177154064178467,-0.013106927717764005,-0.013106927717764005,-0.0035539945863742872
v16.2_observation_vs_v16.2_final,152,4854,76,G2APS/D1_30_003675_2_train.jpg,0,G2APS,0,stable_wrong,0,0,348,4905,G2APS/S2_30_003745_4_train.jpg,1,G2APS,348,4905,G2APS/S2_30_003745_4_train.jpg,1,G2APS,3,4,-1,0.3333333432674408,0.2916666865348816,-0.041666656732559204,0.3333333432674408,0.3333333432674408,0.0,1.0,0.5897207856178284,0.5719608068466187,-0.15883758664131165,-0.15883758664131165,-0.1111847460269928,-0.017767722673591724,-0.017767722673591724,-0.012437230851425785
v16.2_observation_vs_v16.2_final,155,4855,77,G2APS/D1_30_003675_3_train.jpg,0,G2APS,1,stable_wrong,0,0,325,4901,G2APS/D2_30_005100_1_train.jpg,0,G2APS,325,4901,G2APS/D2_30_005100_1_train.jpg,0,G2APS,81,86,-5,0.012345679104328156,0.011627906933426857,-0.0007177721709012985,0.012345679104328156,0.011627906933426857,-0.0007177721709012985,0.8999999761581421,0.5514097213745117,0.533526599407196,-0.15999719500541687,-0.15999719500541687,-0.11003181338310242,-0.017897437561982255,-0.017897437561982255,-0.012308262715412521
v16.2_observation_vs_v16.2_final,161,4856,80,G2APS/D1_30_003720_2_train.jpg,0,G2APS,1,stable_wrong,0,0,5571,6078,PRAI-1581/00000050_0001_00000000.jpg,0,PRAI-1581,5571,6078,PRAI-1581/00000050_0001_00000000.jpg,0,PRAI-1581,7,9,-2,0.06176850199699402,0.04744097962975502,-0.014327522367238998,0.002694207476451993,0.002842254936695099,0.0001480474602431059,0.8999999761581421,0.5397127270698547,0.5364781618118286,-0.02900099754333496,-0.02900099754333496,-0.13908502459526062,-0.00324407901494439,-0.00324407901494439,-0.015558182400736253
